Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot,Communication Skills,Aptitude Skills,Technical Skills ,Projects,Java,C++,C,Python,Data Structure,Machine learning ,Data Science,Full stack,Networking,Cyber Security,AI,Robotics,IOT
22,Male,Electronics And Communication,1,8,1,1,1,30,85,90,8,1,0,0,0,0,0,1,1,0,0,1,1,0
21,Female,Computer Science,0,7,1,1,1,35,90,85,10,1,0,0,0,1,0,0,0,0,0,1,0,0
22,Female,Information Technology,1,6,0,0,1,45,85,90,7,1,1,1,1,1,1,1,1,1,0,1,1,0
21,Male,Information Technology,0,8,0,1,1,20,90,90,4,1,1,0,0,1,0,1,0,1,0,0,1,1
22,Male,Mechanical,0,8,1,0,1,75,85,80,5,1,0,1,0,1,0,1,1,0,0,0,0,1
22,Male,Electronics And Communication,0,6,0,0,0,78,75,80,2,1,1,1,0,1,0,1,1,0,0,0,0,0
21,Male,Computer Science,0,7,0,1,0,78,79,80,1,1,0,1,1,1,0,1,0,0,1,1,0,0
21,Male,Information Technology,1,7,0,0,0,75,65,70,5,1,1,1,1,1,1,1,0,1,0,1,1,0
21,Male,Computer Science,2,6,0,0,1,60,75,74,7,1,1,0,1,1,1,0,1,1,0,1,0,0
21,Female,Computer Science,1,6,1,0,0,71,91,85,9,1,0,0,1,0,1,0,0,1,1,0,1,0
22,Male,Computer Science,1,7,0,0,0,85,82,69,6,1,1,1,0,1,0,0,0,0,0,1,1,1
22,Female,Electrical,1,8,0,1,1,93,97,91,7,0,1,1,1,0,0,0,1,0,0,1,0,1
21,Female,Computer Science,2,6,1,1,0,80,89,65,2,0,1,0,0,1,0,0,0,0,1,1,0,1
21,Male,Computer Science,1,8,0,1,1,86,90,80,4,0,1,0,0,0,0,1,0,0,1,0,1,0
21,Female,Electronics And Communication,2,8,0,0,1,68,72,72,2,1,0,0,0,0,0,1,1,1,1,0,0,0
22,Male,Mechanical,0,8,1,0,1,55,70,65,5,1,1,0,0,0,0,0,0,1,1,1,0,1
22,Female,Computer Science,1,7,1,0,0,55,74,60,6,0,0,1,0,1,1,0,1,0,1,1,0,0
21,Male,Civil,0,6,0,0,0,55,70,60,8,0,0,1,1,1,1,0,1,0,1,0,1,1
21,Male,Computer Science,1,7,0,0,0,60,70,65,2,0,1,0,0,1,0,0,0,0,0,0,1,0
22,Male,Computer Science,1,7,0,0,0,70,70,70,8,0,0,1,1,0,1,1,0,0,1,0,0,1
22,Male,Civil,0,8,0,0,1,40,60,65,6,0,1,1,1,1,1,1,1,0,1,1,0,1
21,Male,Computer Science,1,6,0,0,0,45,40,60,8,0,0,0,0,0,1,1,1,1,0,0,0,1
22,Male,Civil,0,7,0,0,0,47,55,45,6,1,0,0,1,0,0,1,0,0,1,1,0,1
22,Male,Electronics And Communication,1,7,0,1,0,74,80,87,8,1,1,1,1,0,1,0,0,1,0,0,1,1
22,Male,Electronics And Communication,0,7,0,0,0,77,82,80,5,0,0,0,1,0,1,1,1,1,1,0,0,1
21,Male,Electrical,0,8,1,0,1,86,78,82,6,0,0,0,1,1,0,0,1,1,0,1,0,1
22,Male,Electrical,1,8,0,0,1,70,80,78,9,1,0,0,1,0,0,1,0,1,1,0,1,0
22,Male,Information Technology,1,8,0,0,1,48,39,47,5,0,0,0,1,0,0,0,1,1,0,0,1,1
22,Male,Information Technology,1,8,0,0,1,60,64,62,8,1,1,1,1,1,0,0,1,0,0,0,0,0
21,Male,Information Technology,0,6,0,0,1,47,42,46,6,0,1,1,1,1,1,1,0,0,1,1,1,0
22,Male,Mechanical,1,8,1,0,1,67,64,62,8,0,0,0,1,1,0,0,0,1,0,1,0,0
21,Male,Electrical,1,7,0,0,1,59,54,52,7,1,1,0,1,0,0,0,0,0,1,0,0,0
21,Female,Civil,1,7,0,0,0,56,56,54,9,0,1,0,1,1,1,0,0,0,1,0,0,1
21,Male,Electrical,0,7,0,0,0,89,80,74,4,1,1,1,1,0,0,0,0,0,1,0,1,1
21,Male,Computer Science,1,6,0,0,1,80,78,79,8,0,0,0,1,1,0,0,0,1,0,0,0,0
